"query","search interest","increase percent"
"wuling cloud",28,"Breakout"
"cloud ev",27,"Breakout"
"wuling cloud ev",20,"Breakout"
"edge computing",9,"Breakout"
"yaris cross hybrid",5,"Breakout"
"cloud computing services",4,"Breakout"
"what is a hybrid cloud?",3,"Breakout"
"edi2xml hybrid cloud",3,"Breakout"
"what is a hybrid cloud",26,"400%"
"hybrid cloud in cloud computing",17,"350%"
"hybrid cloud model",48,"200%"
"jenis layanan cloud",16,"180%"
"google cloud",44,"170%"
"hybrid cloud deployment",14,"150%"
"cloud computing adalah",39,"110%"
"hybrid cloud infrastructure",18,"90%"
"hybrid adalah",94,"90%"
"hybrid cloud platform",29,"80%"
"hybrid cloud adalah",95,"80%"
"enterprise hybrid cloud",10,"70%"
"hybrid cloud definition",7,"60%"
"hybrid cloud integration",9,"50%"
"hybrid cloud security",25,"50%"
"hybrid multi cloud",12,"40%"
"cloud computing",100,"40%"
"hybrid cloud computing",100,"40%"
"what is hybrid cloud",45,"40%"
"hybrid cloud services",23,"40%"
"hybrid cloud example",9,"40%"
"community cloud",23,"30%"
"hybrid cloud storage",30,"10%"
"public cloud",73,"5%"
"hybrid cloud management",25,"1%"
"hybrid cloud strategy",9,"1%"
"hybrid cloud companies",6,"-2%"
"private cloud",69,"-5%"
"public cloud private cloud hybrid cloud",52,"-10%"
"public private hybrid cloud",50,"-10%"
"hybrid cloud architecture",17,"-20%"
"hybrid cloud providers",5,"-20%"
"cloud public private hybrid",49,"-20%"
"hybrid cloud vmware",6,"-40%"
"hybrid cloud solutions",13,"-50%"
"hybrid cloud security challenges",0,"-100%"
